专业,本科就业率,本科月薪,学科门类,红绿牌,硕士就业率,硕士月薪,学历薪资溢价率%,学历就业率提升%,本硕薪资差
英语,0.72,5800,外语,普通,0.75,6496.0,12.0,3.0,696.0
商务英语,0.75,6200,外语,普通,0.78,6944.0,12.0,3.0,744.0
翻译,0.73,6000,外语,普通,0.76,6720.0,12.0,3.0,720.0
日语,0.74,5500,外语,普通,0.77,6160.0,12.0,3.0,660.0
俄语,0.71,5400,外语,普通,0.74,6048.0,12.0,3.0,648.0
德语,0.73,5600,外语,普通,0.76,6272.0,12.0,3.0,672.0
法语,0.72,5500,外语,普通,0.75,6160.0,12.0,3.0,660.0
西班牙语,0.74,5700,外语,普通,0.77,6384.0,12.0,3.0,684.0
艺术设计学,0.69,5500,艺术,普通,0.72,6050.0,10.0,3.0,550.0
视觉传达设计,0.7,5800,艺术,普通,0.73,6380.0,10.0,3.0,580.0
环境设计,0.71,5600,艺术,普通,0.74,6160.0,10.0,3.0,560.0
产品设计,0.72,5900,艺术,普通,0.75,6490.0,10.0,3.0,590.0
音乐表演,0.62,4800,艺术,红牌,0.65,5280.0,10.0,3.0,480.0
绘画,0.6,4500,艺术,红牌,0.63,4950.0,10.0,3.0,450.0
美术学,0.63,4600,艺术,红牌,0.66,5060.0,10.0,3.0,460.0
动画,0.68,5200,艺术,普通,0.7100000000000001,5720.0,10.0,3.0,520.0
农学,0.76,5500,农学,普通,0.81,6600.0,20.0,5.0,1100.0
园艺,0.75,5400,农学,普通,0.8,6480.0,20.0,5.0,1080.0
动物医学,0.84,6800,农学,普通,0.89,8160.0,20.0,5.0,1360.0
林学,0.77,5600,农学,普通,0.8200000000000001,6720.0,20.0,5.0,1120.0
水产养殖学,0.78,5700,农学,普通,0.8300000000000001,6840.0,20.0,5.0,1140.0
教育学,0.8,5500,教育,普通,0.8400000000000001,6324.0,15.0,4.0,824.0
学前教育,0.76,5200,教育,普通,0.8,5979.0,15.0,4.0,779.0
小学教育,0.78,5300,教育,普通,0.8200000000000001,6094.0,15.0,4.0,794.0
体育教育,0.77,5100,教育,普通,0.81,5865.0,15.0,4.0,765.0
教育技术学,0.73,5400,教育,普通,0.77,6209.0,15.0,4.0,809.0
公共事业管理,0.65,5800,其他,红牌,0.68,6496.0,12.0,3.0,696.0
行政管理,0.74,6000,其他,普通,0.77,6720.0,12.0,3.0,720.0
旅游管理,0.73,5400,其他,普通,0.76,6048.0,12.0,3.0,648.0
图书馆学,0.67,5200,其他,普通,0.7000000000000001,5824.0,12.0,3.0,624.0
档案学,0.68,5100,其他,普通,0.7100000000000001,5712.0,12.0,3.0,612.0
