text,likes,platform,text_length,sentiment,confidence,mentioned_majors
不想这样的前提是给任何一个人都有相对高薪的收入。,3.0,Zhihu,24,neutral,0.5931338667869568,['未明确提及']
但要做到这些的前提是：金融专业好的中上游985+中央财经+上海财经的硕士起步。只要是能考取这些院校金融专业的，大可以报，即便没有上面哪些有的没的，去证券公司常规做事，收入都非常好。,15.0,Zhihu,90,positive,0.9818319082260132,['金融学']
确实金融水很深，所以我正在转计算机[飙泪笑][飙泪笑][飙泪笑],5.0,Zhihu,32,positive,0.8677659034729004,"['计算机科学与技术', '金融学']"
同样都是卖，你是选择卖三年就赎身，还是打算卖三十年走量？,6.0,Zhihu,28,negative,0.9452629089355469,['未明确提及']
是这样的，咱现在找不到工作，就来干贷款行业，和金融都不太沾边对吧。这个公司的销冠，一个月收入，我家可能等得攒个十年，正常薪资都是本地平均工资的三四倍。,6.0,Zhihu,75,positive,0.6787047982215881,['金融学']
挣钱的根本目的还是为了繁殖[酷],2.0,Zhihu,16,positive,0.8371320962905884,['未明确提及']
"一次交易是一个订单, 一下是一股",3.0,Zhihu,16,negative,0.6063709855079651,['未明确提及']
不要老是老说金融乱，别的行业这种事也不少,1.0,Zhihu,20,positive,0.9874990582466125,['金融学']
能不焦虑吗？谁希望工厂两班倒,1.0,Zhihu,14,negative,0.6963788270950317,['未明确提及']
张雪峰还说把自己的一辈子押在听他几天直播是不负责任呢，他也劝人独立思考呀[大笑],1.0,Zhihu,40,positive,0.8714191317558289,['未明确提及']
你做领导我掏粪，都是为人民服务嘛[调皮],1.0,Zhihu,20,positive,0.617878794670105,['未明确提及']
我儿子的专业，幸亏听了张雪峰的视频[赞],2.0,Zhihu,20,positive,0.9886819124221802,['未明确提及']
别说话说一半呀，张雪峰推荐的是那些家里困难，需要一毕业就工作赚钱补贴家用的人选赚钱的专业。稍微有点家底，他就劝你喜欢啥选啥了。家里钱多的花不完，才劝你选新闻学之类的。,0.0,Zhihu,83,positive,0.900863528251648,['新闻学']
本来就是只有选专业需要考虑赚多少钱的人会去看他啊。不需要考虑赚钱并且有坚定选项的也不会被动摇啊。而那些本来就是奔着赚钱选专业的人，选对了总比瞎选好吧，本来就不喜欢还不赚钱，太惨了。,0.0,Zhihu,90,negative,0.6926239728927612,['未明确提及']
不会有影响，因为招生计划不是他定的，调剂可以保证每个专业都有人去,0.0,Zhihu,32,positive,0.9395604729652405,['未明确提及']
就好像你选了这个专业 毕了业就是这个专业的有力竞争者了一样 这些热门专业大多数 有了这个专业学历只是有了一个最低最低的门槛入场券一样 真正的有力竞争力 还带是脑子  张雪峰 只是给你保了一个下限而已 并不是 学什么专业你都要去干什么的  同样的 非这些热门专业 不推荐的原因 并不全是赚不到钱 而是从事这些工作 不需要专门去读个大学选个这方面的专业 读四年 你才能去干的 很多都是要么进不去 要么对学历卡的不死的 大力推荐这些热门专业就是 保证你的以后就业面选择广的 下限罢了,0.0,Zhihu,238,positive,0.8100748658180237,['未明确提及']
问题是人家不是按照提问者的家庭状况去提建议的？有来一个就让他们去报计算机这种做法吗？你在断章取义些什么？你的意思是让一个农村家的孩子，生存都有问题的情况下，让他去报个需要背景、人脉的金融业？,0.0,Zhihu,95,negative,0.6587845683097839,"['计算机科学与技术', '金融学']"
更可怕的是，所有人都变得特别会算计。选专业不看喜欢什么，就看能挣多少钱。理想？爱好？那都是不成熟的表现。这种风气传染到社会上，医生不想治病想搞钱，老师不想教书想补课，连科学家都在琢磨怎么把论文变现。怎么你觉得现在不是这样吗？,0.0,Zhihu,112,positive,0.8410595655441284,"['临床医学', '师范类']"
现在也是这样，其它男的所谓的女神天天贴在老男人身边谄媚。,2.0,Zhihu,28,neutral,0.5553876757621765,['未明确提及']
首先本质上的读书都是为了赚钱为了更好的赚更多钱，应该没人说什么读书是为了做学问吧？就和没人去考公是为了人民服务一样。,2.0,Zhihu,58,positive,0.9498334527015686,['未明确提及']
计算机专业已经这样了，当前的就业率低于50%，四年后的计算机，92以下失业率可能会到80%。大量的跑外卖，摇奶茶的计科毕业生。其实张雪峰的意见只能参考，可惜普通人太短视，一个行业的顶端必是光鲜亮丽的，可一个走下坡路的行业，你等四年甚至7年，结果可想而知。就像当保洁大妈开始讨论股票的时候，也就是该出手的时候了,0.0,Zhihu,154,positive,0.887937068939209,['计算机科学与技术']
[捂脸]你们别就别说了 我圈子出来玩的妞 打工籽万八千一年存的钱不够她们1.2个月护肤品保养 更别说整容的钱,1.0,Zhihu,54,negative,0.6444934606552124,['未明确提及']
招生有计划...又不是报一千就收一千。,0.0,Zhihu,19,positive,0.6185327768325806,['未明确提及']
说句不好听的，我见过很多小厂老板身边哪个没几个小三小四小五的，愿意被拍的人谁也挡不住，真的不愿意的人谁敢用强？这个世界上为了钱做妓女的成千上万，为了钱做鸭子又何止几万？金融圈也是如此，你是啥人，自然有啥命。跟学什么专业有啥关系？,148.0,Zhihu,114,negative,0.8180719017982483,['金融学']
5年前 张雪峰建议大家选土木[捂嘴] 现在……,0.0,Zhihu,23,positive,0.6236490607261658,['土木工程']
资本主义私有制就是这样用资源和金钱把人分成了三六九等，教员终其一生也打不过这玩意，平头百姓顺着趋势混完一生就得了，真把自己那二两肉看得那么金贵啊，人家那场合叫你是看得起你，旁观者有啥不忿或者不平的呢？[酷],0.0,Zhihu,103,positive,0.9645408391952515,['未明确提及']
大爱无疆为理想而活说穿了就是油盐酱醋。,0.0,Zhihu,19,positive,0.9880228042602539,['未明确提及']
那我是男的，可以给大佬跳舞吗？🤣,0.0,Zhihu,16,neutral,0.5817570686340332,['未明确提及']
"你得感谢这社会是有信息差的，张雪峰的话，有的人到现在还没听过或者说深入思考过，不然还会更卷。像一些工资待遇低到离谱的专业，确实不适合普通人家，不是说他不没有存在的必要，是普通人培养一个大学生成本太大了，试想下如果一个211,985毕业对口专业的工资只有4K左右，而且没发展前途你作为家长什么感受[酷]",0.0,Zhihu,150,positive,0.9431939125061035,['未明确提及']
我也要[大哭][大哭][大哭][大哭][大哭]  查看动图,0.0,Zhihu,29,positive,0.6323491930961609,['未明确提及']
就该这样 ，凭什么当老实人被人欺负,0.0,Zhihu,17,negative,0.9084087610244751,['未明确提及']
这世道笑贫不笑娼，要是有哪几个富婆让我跳舞，我他妈也跳。当然 富老头不行，我不搞基我本科也985，也是做金融的,0.0,Zhihu,55,positive,0.8987523317337036,['金融学']
可以说，90%以上的文科生基本不用考虑专业问题，因为基本大多是人都不会从事本专业。而理科生，如果你没有很好的研发能力，基本也不会从事本专业。所以，专业什么的都是其次，大多数人还是考虑学校所在城市比较好，还有考虑学校的环境,0.0,Zhihu,110,positive,0.884052038192749,['环境工程']
这种事情我经历过。。挺多的,0.0,Zhihu,13,positive,0.8975817561149597,['未明确提及']
那你去弱势专业，毕业就失业，找个底薪1000的销售呗,0.0,Zhihu,26,negative,0.8783563375473022,['未明确提及']
再好的专业也要好好笑，天天打游戏，天天胡吃海喝，毕业就失业很正常。,0.0,Zhihu,33,positive,0.9854637980461121,['未明确提及']
那你会让你的孩子去学他说的天坑专业吗？[捂嘴],1517.0,Zhihu,23,positive,0.6975578665733337,['生物工程']
不是张雪峰坑，是个大高校跟国企单位的招聘政策跟这他的放出的信息做出调整，本来上层资源掌控的就是个信息差,850.0,Zhihu,51,negative,0.8579409122467041,['未明确提及']
我不需要将来去找他，觉得他说得对的就听，选择权在我自己手里，选错了自己承担，不怨他。,103.0,Zhihu,42,positive,0.7423305511474609,['未明确提及']
但凡对老百姓有点利的人和事，都会被针对,676.0,Zhihu,19,positive,0.9107494354248047,['未明确提及']
看到这么多人在骂就放心了，张雪峰说的那些只是作为参考用，个人觉得博主就是在蹭张雪峰的流量而已[大笑],632.0,Zhihu,50,neutral,0.582361102104187,['未明确提及']
精神、自驱力、素养、处世观？？？你是当着这些毕业生不用吃饭，不用去实实在在的就业拿着对得起自己这么多年来的辛苦付出吗，你是哪个组织？,491.0,Zhihu,66,positive,0.6906033158302307,['未明确提及']
张老师绝对是个好老师，我相信他本心绝对是好的，顺便能赚点钱更好，但是他破坏了上层阶级的游戏规则，所以肯定有人会整他,345.0,Zhihu,57,positive,0.9495394825935364,['师范类']
他是征对一些分数不高，家长没有信息渠道的人群的，你孩子分高，家长有有信息有主见有渠道可以不听他的嘛,238.0,Zhihu,49,neutral,0.5879164338111877,['未明确提及']
我觉得主意最后还是自己拿，他只是分析当前的就业环境，给那些六神无主的家长孩子们一个思路参考，有背景学习好的孩子自己有主意，有思路，也一定不会听它的，有这样一个老师给指点一下，也是很不错的，就像中介公司一样，我付费他们给我提供服务，适当的交点服务费，家长们应为工作繁忙，能省心一点，我个人认为市场需要🈶这样的人，除非你把中介公司都给取消了！,168.0,Zhihu,169,positive,0.9734460711479187,"['师范类', '环境工程']"
[飙泪笑][飙泪笑][飙泪笑] 人家只是帮你报志愿，给你指明路，让一些普通人家孩子避开填坑 损失少一些    而且就算帮你去的再好的专业，你自己在大学不努力不奋斗 天天摆烂，毕业后谁会要你？,134.0,Zhihu,95,positive,0.8123113512992859,['未明确提及']
首先，他是做这个的，行业信息本来就有一定的积累。其次，是你不懂。他讲得也不一定都对，哪个行业赚钱哪个行业不赚钱，这是浮动性的。但由于你对这方面的信息几乎为零，他讲得又头头是道，让你感觉上好像他说的就是对的。其实张雪峰这类人最大的能力，是讲故事的能力，张雪峰、罗永浩、董宇辉、俞敏洪……这类人讲故事的能力是一顶一的。,50.0,Zhihu,157,positive,0.9107955098152161,['未明确提及']
这几条里 两三条不对 两三条废话 两三条不完整 其余的基本大家都知道了,24.0,Zhihu,35,negative,0.7665992379188538,['未明确提及']
他懂得不是专业本身，是这个专业的就业情况。,14.0,Zhihu,21,positive,0.837602972984314,['未明确提及']
成绩不怎么样，学电气工程？,11.0,Zhihu,13,neutral,0.5578566789627075,"['土木工程', '电气工程']"
电气工程容易挂科，实验多到离谱,10.0,Zhihu,15,negative,0.890815258026123,"['土木工程', '电气工程']"
11、如果你没有考研考上北大清华，你就骗你是北大清华毕业的。,10.0,Zhihu,30,negative,0.8763888478279114,['未明确提及']
第一条就错了，多数医生就是服务员，靠易宝局和患者两个活爹养着。现在还喜欢玩去编织改劳务派遣学历内卷，你法我笑。[暗中学习],6.0,Zhihu,61,negative,0.7174860239028931,['临床医学']
如果你不想将来靠别人养活，尽量早点认识到自己有什么能力，尽量早点学会一技之长。立足于本职，兼容并蓄。而不是以父辈积累的财富带给你安逸的前二十年为常态。,6.0,Zhihu,75,positive,0.9712375402450562,['未明确提及']
第5条就搞笑了，这个专业在知乎另一回答荣登最难专业。,3.0,Zhihu,26,positive,0.9650495052337646,['未明确提及']
哈哈，这怪张雪峰吗[酷],0.0,Zhihu,12,positive,0.9602104425430298,['未明确提及']
还有新闻学，传播学，电子商务，日语，英语，加油，你会有成为香饽饽的那天[doge],0.0,Zhihu,41,positive,0.9409278631210327,"['英语', '新闻学']"
吃了上顿没下顿，你看看会不会焦虑,0.0,Zhihu,16,negative,0.7462760806083679,['未明确提及']
如果真的这么这么想，还是多多举报，看看会不会再封。至于给全社会下套的人，恐怕不止他一个人啊，利益才是这些人给别人下套的原因[好奇],0.0,Zhihu,65,positive,0.6165052652359009,['未明确提及']
张的逻辑硬伤很明显啊，那就是全世界就我聪明，我会利用规则最大化谋利然后得意的看别人当傻子。那么问题来了，如果全世界都这么想，那最后的结局是什么呢[大笑],0.0,Zhihu,76,positive,0.6698248386383057,['未明确提及']
专业是有招生名额限制的，所有人都学计算机只是你们的臆想。,0.0,Zhihu,28,negative,0.6849368810653687,['计算机科学与技术']
希望你身体力行，去学新闻学吧[捂嘴],0.0,Zhihu,18,positive,0.798759937286377,['新闻学']
穷困家庭学医学法律的更多[微笑][微笑],2.0,Zhihu,20,positive,0.9256169199943542,"['临床医学', '法学']"
3、如果你想毕业后拿高薪，就去学电子通讯*，计算机，这些专业现在很火很赚钱。电子通讯我不了解，但是计算机已经卷的飞起了。,2.0,Zhihu,60,negative,0.753554105758667,['计算机科学与技术']
约过一个金融圈的。。。确实奢靡。。。让我大开眼界。。。,0.0,Zhihu,27,positive,0.99024498462677,['金融学']
吃时代的红利，以为时代是十六岁的小姑娘任人打扮欣赏？,2.0,Zhihu,26,neutral,0.5368208885192871,['未明确提及']
没办法，社会就这样，你就说你想不想吧,0.0,Zhihu,18,positive,0.715087890625,['未明确提及']
成绩不好学电气工程？你是认真的吗？,2.0,Zhihu,17,neutral,0.5675134658813477,"['土木工程', '电气工程']"
出卖肉体赚一辈子钱，出卖肉体做苦力一辈子赚钱，有得选的话你如何选择[酷],0.0,Zhihu,36,neutral,0.5497680902481079,['未明确提及']
他赚的利润足以让他不吃饭也如打鸡血，不他什么都懂，是因为利润让他疯狂得什么都要拼命掌握，难道是智商和情怀惹的祸吗？,2.0,Zhihu,57,positive,0.8050487637519836,['未明确提及']
师医公工，比这还多！P！,0.0,Zhihu,12,negative,0.9305500388145447,['未明确提及']
都5202年真的还有鼓吹计算机的吗[捂脸]，这个人才市场已经饱和的不像样了，公司都想要有工作经验的，然后毕业生数量还在涨，人工智能因为第一波浪潮，本身也没有完善的产业链，也都跑计算机课,1.0,Zhihu,92,positive,0.9032698273658752,['计算机科学与技术']
那女的是清华机械本硕出身[惊喜],0.0,Zhihu,16,positive,0.7636106610298157,['机械工程']
把这种事，圈定在某一个行业说法的人，基本上智商是零的表现。只是金融圈这样吗？哪一个圈不是这样？生活中所谓的男女结合成婚，不都是讲究男财女貌吗，或者男势女貌等等，男方靠金钱和权势，无论是不是丑货，一样找到美女做老婆，或者女方靠金钱和权势，无论是不是丑货，一样找到帅哥做老婆。都特么的是一路货色，谁也不必谁高贵。这就是世界的基本运用法则，美女和帅哥本来就是稀缺资源，自古到今，一直都是受到权势和金钱倾轧。古时候皇帝广宣美女入宫，公主从天下男人中招驸马，不都是这样吗？很多智商低下的人，居然拿这说事，真的搞笑。,5.0,Zhihu,252,positive,0.8949002623558044,['金融学']
高报师也挺不正规[大笑][大笑][大笑][大笑]，前几天的二百五颠覆了我的三观，他怎么好意思说别的行业，笑死了,0.0,Zhihu,55,negative,0.7261468172073364,['未明确提及']
学医学法律的，大把普通人家子弟,0.0,Zhihu,15,positive,0.8791931867599487,"['临床医学', '法学']"
土木工程好汉语文学好计算机好！,0.0,Zhihu,15,positive,0.9875594973564148,"['计算机科学与技术', '土木工程']"
张雪峰提供的信息你能提供的了吗？即使有偏差， 张雪峰的出发点绝对是有良心的。他逼所有家长学生必须听他的了吗？给大家提供参考， 拯救了多少孩子和家庭。你做什么了？,99.0,Zhihu,80,positive,0.855599582195282,['未明确提及']
我觉得那个考取北大考古系的女生钟芳蓉就很厉害，知道自己喜欢什么、擅长什么、独立清醒……虽然大家都觉得考古难就业，但是她现在又选择去了敦煌博物馆，虽然大家都觉得这很难发财，但是这是她的心之所往。你强任你强，清风拂山岗！热爱可抵岁月漫长……所以年轻人还是要选择自己的热爱和擅长，因为热爱哪怕有点苦也不觉苦了，这才是生命的意义。不要去做挣钱的牛马，去寻找了不起的自己！,43.0,Zhihu,181,positive,0.9596409201622009,['未明确提及']
这是动到他们的蛋糕了，出来抹黑了[捂脸][捂脸],52.0,Zhihu,24,neutral,0.5056844353675842,['未明确提及']
资源一直在少数人手里，谁说了算，才是关键,50.0,Zhihu,20,positive,0.963345468044281,['未明确提及']
你给推荐个好专业呗，你能吗？普通老百姓没有认知能力的，你让他怎么选？,40.0,Zhihu,34,neutral,0.5673955678939819,['未明确提及']
本来也不信，直到协合出现了4+4!,37.0,Zhihu,17,negative,0.8161539435386658,['未明确提及']
电气专业 确实是算得上天坑，想要玩的好 投入肯定少不了……没必要去诋毁 张 只是说了一个实话而已,32.0,Zhihu,48,positive,0.9250210523605347,"['电气工程', '生物工程']"
你的意思就是，是张雪峰制造的天坑专业，而这些专业本来不是天坑[思考][思考][大笑],30.0,Zhihu,42,neutral,0.505411684513092,"['机械工程', '生物工程']"
招收的还是那么多人，不是有调剂吗[感谢]张的建议让分高的人去选自己想去的专业，而不是大学。这样也没什么不好…,27.0,Zhihu,54,positive,0.8961946964263916,['未明确提及']
作者哗众取宠，反其道而行，骗流量,25.0,Zhihu,16,negative,0.9769269824028015,['未明确提及']
人家清华还是北大的，什么985啊，当初微博我还粉了很久，当初我的女神好嘛。我他妈真的是被刷新了三观，哎，不说了，都是泪。我的女神，别人的狗。,9.0,Zhihu,70,negative,0.8201844096183777,['未明确提及']
我看过一个女的 饭局上喝尿 后来是店里服务员多管闲事报了帽子叔叔  哈哈。至于那个女的 还上过我们江西的新闻。和她有关系的副省长 前几个月也进去了。为了钱 我觉得女的比男的豁出去。,13.0,Zhihu,90,positive,0.7861409187316895,['新闻学']
如果随便被打几炮就能财富自由，你看看你排队的能不能排到法国,37.0,Zhihu,29,positive,0.6580480933189392,['未明确提及']
至少赚的多啊，反过来你清华土木毕业，在工地天天007，晒得跟泥球似的，给那三瓜俩枣，就比这个985美女更干净吗？[滑稽][滑稽][滑稽],0.0,Zhihu,68,neutral,0.5987024903297424,['土木工程']
对的，就是赛博算命烧香割韭菜的套路。。。五年十年后，哪些专业火爆哪些萧条，基本是无法预测的。。。[大笑],22.0,Zhihu,52,positive,0.9338906407356262,['未明确提及']
你可以不信他，但是别人信他那就是有价值。社会上那么多花大钱找他咨询的人都是傻瓜么,19.0,Zhihu,40,positive,0.7693406343460083,['未明确提及']
还有人黑张雪峰的，林子大了什么人都有,18.0,Zhihu,18,positive,0.6221286058425903,['未明确提及']
别人掏心掏肺说出当前的弃暗投明，好心好意提醒避坑，最终的决策人是你自己，落子无悔是一个人起码的德性。为什么要回头即刻咬人呢？,15.0,Zhihu,62,positive,0.8700254559516907,['未明确提及']
动上层人的利益，等于要他们的命，动底层人的观念，等于掘他们的祖坟。,12.0,Zhihu,33,positive,0.9871509075164795,['未明确提及']
还是要有自己的判断，不能人云亦云。,14.0,Zhihu,17,neutral,0.5874013900756836,['未明确提及']
首先，张给你职业规划的时候，他也只是站在他的立场上给你梳理，他讲的也只是按照人家对社会的一些认知上去给出方向，虽说不一定准但别人也没收费，为什么说他只是一个网红就没有征信力呢。还有个问题: 那就现在的学校来说，作为一个学校的老师，如果同样的问题去咨询老师那他考虑的就一定是对的嘛，而且排除现在的老师水准，老师在他的认知里又会有更多的见解吗？而且现在的老师有多坑不用我多说，大部分中专，大专，本科等等院校老师，不要太多刚毕业就把自己的学生拿出去跟一些坑比单位合作，学生一个月拿个2000 3000实习工资甚至还没有，自己赚一点点中介费，老师有考虑你的未来没有呢？现在所谓的陪伴你几年的老师，这么有公信力的人那看起来又是什么呢？总结: 年轻人需要的不是你一句话，需要的是一笔钱，不然现在大学生连生存都是问题。,13.0,Zhihu,352,positive,0.6438203454017639,['师范类']
社会主义初级阶段的人民没有能达到你所期望的精神和自驱力，而且也不知道该如何达到；为谋生选一个饭碗，而不是稀里糊涂读没饭吃的专业之后问政府要饭，是很自强的选择。,10.0,Zhihu,79,positive,0.9515786170959473,['未明确提及']
张雪峰不是神人，任何事情不是一辈子的，只是眼前需要。,10.0,Zhihu,26,positive,0.9868791699409485,['未明确提及']
说句不好听的话，当你的信息资源完善，人脉资源丰富，你上不上大学考不考专业对口的都无所谓，你可以任意选择。但是你在信息茧房里，张雪峰把天坑的信息普及到你，就是莫大的帮助。现在虽然互联网普遍普及，在茧房里一样还是在茧房里。没有人会告诉你各行各业的信息差，你以为你通过互联网得到的信息也只是表面的信息源而已，很多人就是信息不对称亏得血本无归比比皆是。,9.0,Zhihu,172,positive,0.659803032875061,['生物工程']
学医和当老师给我看笑了，俩天坑[捂脸],0.0,Zhihu,19,neutral,0.5300933718681335,"['师范类', '生物工程']"
他其实是想从政的，现在已经在政府部门了，北方黄河流域的都这样,0.0,Zhihu,30,positive,0.7339730262756348,['未明确提及']
一个混子忽悠一下你就信了[飙泪笑],0.0,Zhihu,17,negative,0.9574791789054871,['未明确提及']
他没说过这些……而且这些也都不对……,0.0,Zhihu,18,negative,0.944749653339386,['未明确提及']
他打压金融专业，诱导宣传金融行业资源论，不就是为他的学渣女儿铺路吗？！欺诈营销获得巨额收益，构成犯罪，应该入刑并没收全部非法所得，附带民事赔偿！他去了苏州后，突然就攻击经管专业了，苏州是成为资本攻击金融行业的水军大本营，也是1450大本营，成为资本控制了网络势力，所以，他才在去苏州后，网上差评突然就没有了，而他，也开始攻击金融行业了！这不是成为资本的艺人，又是什么？！大家看，他的水军是不是山东江苏重庆广东福建辽宁河南安徽的？这就是李世默集团的水军大本营！查看图片,5.0,Zhihu,233,negative,0.9725478291511536,"['金融学', '自动化']"
但招生计划是教育部定的，就算一个专业都没人报，调剂都会调剂过去，除非说大家都只报热门专业，并且都不服从调剂，那这样就是没多少人能上大学了[思考],125.0,Zhihu,72,neutral,0.500960111618042,['师范类']
有的行业就算只剩一个人也没钱赚,105.0,Zhihu,15,positive,0.9091842770576477,['未明确提及']
逻辑错误，没有市场的专业一个人都嫌多，有市场也是关系户的和你无关。,52.0,Zhihu,33,negative,0.9808799624443054,['未明确提及']
我觉得说的不对，他导师那么大年纪，就带过一个研究生?不可能吧[吃瓜]之前的师兄师姐呢?怎么也轮不到他成泰斗,44.0,Zhihu,53,negative,0.6228330135345459,['未明确提及']
那去景德镇学几年，再去找大能当学徒，包出师的，你有人家那对戴理查德米勒/百达翡丽的客源吗[吃瓜],37.0,Zhihu,48,negative,0.8037909269332886,['未明确提及']
没人报那些专业是因为找不到工作。找不到工作是因为市场不需要。设置市场不需要的专业等同于浪费社会资源。最终会倒逼学校改革，把专业设置的更合理。,23.0,Zhihu,70,positive,0.808163046836853,['未明确提及']
确实，自从张雪峰把新传喷上热搜后，媒体行业的人才竞争压力大为减少（没人想来干）一些原来严格卡学历的大机构现在都放松了，还在行业里的稍微有点资历和学历基本可以横着走,9.0,Zhihu,81,positive,0.9878450036048889,['新闻学']
[吃瓜]你猜为啥这个行业只剩下一个泰斗了,13.0,Zhihu,20,positive,0.7147588729858398,['未明确提及']
屠龙之技终于大成，出山，突然发现，没龙了……[捂脸],10.0,Zhihu,26,positive,0.685671329498291,['未明确提及']
数学的某一分支是法国人在研究，因为重要人物卷入一战死光了导致学科发展停滞甚至失传,8.0,Zhihu,40,positive,0.9770190119743347,['未明确提及']
是啊！张雪峰的出现动了很多又鸟马户的蛋糕，注定会被一些公公们打压，晚了！打压也没有用了，互联网是有记忆的，张雪峰的一席话已经把社会底层的人们醍醐灌顶、清醒了。,9.0,Zhihu,79,positive,0.859312891960144,['未明确提及']
如果不是张雪峰，底层老百姓连这点信息差都没有，上层的人还缺这点信息差吗，张雪峰的出现只会让他们更快的调整政策而已,9.0,Zhihu,56,neutral,0.5474750995635986,['未明确提及']
底层人民被瞒的事太多了，他们没有资源、没有人脉、没有信息，只能抓住这一根稻草。试问哪个子弟愿意把自己的名额让出来呢，有吗？肯定没有！所以，底层人民还是在底层，大家只不过仅仅是想稍微公平一点而已,8.0,Zhihu,96,positive,0.9253776669502258,['未明确提及']
在美国，人最重要的是自由，在北欧，人最重要的是开心快乐，在中国，人最重要的是生存，事吃饭，在中国，你要什么人生是要靠投胎的，你不要饱汉子不知道饿汉子饥！,8.0,Zhihu,76,positive,0.9440123438835144,['未明确提及']
